"Property","Unit","Area","Days Vacant","Location","Pending Leases","Type","Date From","Pending Option","Option type","Encumbered Space","Encumbered Area","Expiration Date"
"p0000023 - 2019 Clovis Barker Road","104     ","304",214,,,,,,,,,
"p0000027 - 3701 Drossett Drive","190B    ","2,576",46236,,,,,,,,,
"p0000037 - 13750 Hwy 29 West","104     ","3,047",157,,,,,,,,,
"p0000037 - 13750 Hwy 29 West","105     ","1,737",161,,,,,,,,,
"p0000040 - 5506 Hwy 290 West","300     ","1,200",96,,,,,,,,,
"p0000081 - 13740 West Hwy 29","1       ","1,500",258,,,,,,,,,
"p0000170 - 201 FM 3237","123     ","2,227",400,,,,,,,,,
"p0000177 - 5615 FM 973 Bldg 9","900     ","0",46236,,,,,,,,,
"p0000177 - 5615 FM 973 Bldg 9","960     ","63,883",215,,"Burr Computer Environments, Inc.","Original Lease","9/1/2026",,,,,
"p0000180 - 5615 FM 973 Bldg 4","420     ","4,326",46236,,,,,,,,,
"p0000180 - 5615 FM 973 Bldg 4","440     ","4,326",46236,,,,,,,,,
"p0000181 - 5615 FM 973 Bldg 5","500     ","9,620",46236,,,,,,,,,
"p0000182 - 5615 FM 973 Bldg 6","610     ","2,163",46236,,,,,,,,,
"p0000182 - 5615 FM 973 Bldg 6","620     ","2,163",46236,,,,,,,,,
"p0000182 - 5615 FM 973 Bldg 6","630     ","2,163",46236,,"Ronin Surgical Corp.","Original Lease","10/1/2026",,,,,
"p0000182 - 5615 FM 973 Bldg 6","640     ","2,163",46236,,,,,,,,,
"p0000182 - 5615 FM 973 Bldg 6","650     ","2,163",46236,,,,,,,,,
"p0000182 - 5615 FM 973 Bldg 6","660     ","2,163",46236,,,,,,,,,
"p0000182 - 5615 FM 973 Bldg 6","670     ","2,163",46236,,,,,,,,,
"p0000184 - 5615 FM 973 Bldg 8","3       ","0",46236,,,,,,,,,
"p0000184 - 5615 FM 973 Bldg 8","800     ","50,917",215,,,,,,,,,
